"事务名称","应用名称","Apdex","响应时间中位数(ms)","响应时间 P75 (ms)","响应时间 P95 (ms)","响应时间 P99 (ms)","平均请求时间","吞吐率 (/s)","请求数","错误率(%)","错误次数","慢次数","异常次数","请求类型"
"URI/grcv5/dwr/call/plaincall/dwrCategorySelectorService.getChildren.dwr","fawuorg.springframework.boot.loader.WarLauncher","1.0","7.322544642857142","9.80859375","33.95829589292407","51.25969899445772","10.81","< 0.01","27","0.00","0","0","0","Web请求"
"URI/grcv5/user/product/legalKnowledge/legalKnowledgeList.jsp","org.springframework.boot.loader.WarLauncher","1.0","7.171875","8.1796875","8.835937544703484","8.967187643051147","7.29","< 0.01","7","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.findKeeper.dwr","org.springframework.boot.loader.WarLauncher","1.0","7.1276533018867925","8.2107421875","11.0583984375","18.064453125","7.97","< 0.01","75","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrPersonnelService.externalLawyer.dwr","org.springframework.boot.loader.WarLauncher","1.0","7.0625","7.59375","7.9187499806284904","7.983750015497208","7.25","< 0.01","4","0.00","0","0","0","Web请求"
"URI/grcv5/wp/lasContractArchiveM/G_1_connectBiddingNoSelector.htm","org.springframework.boot.loader.WarLauncher","1.0","7.0625","7.59375","7.9187499806284904","7.983750015497208","7.25","< 0.01","4","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.refreshIsMoreYear.dwr","org.springframework.boot.loader.WarLauncher","1.0","7.001865671641791","8.740331064356436","11.071086014851485","31.395371049642563","8.20","< 0.01","310","0.00","0","0","0","Web请求"
"SpringController/${url.rest.prefix.flowmobileapi.v1}/user-tasks/attention (POST)","fawuorg.springframework.boot.loader.WarLauncher","1.0","7.0","7.0","7.0","7.0","7.00","< 0.01","1","0.00","0","0","1","Web请求"
"URI/grcv5/admin/flowNew/designer.jsp","fawuorg.springframework.boot.loader.WarLauncher","1.0","7.0","7.0","7.0","7.0","7.00","< 0.01","1","0.00","0","0","1","Web请求"
"URI/grcv5/dwr/call/plaincall/flowDesignService.unlockFlow.dwr","org.springframework.boot.loader.WarLauncher","1.0","7.0","7.0","7.0","7.0","7.00","< 0.01","1","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrContractSignInfoService.getSignInfoByContractId.dwr","fawuorg.springframework.boot.loader.WarLauncher","1.0","7.0","7.0","7.0","7.0","7.33","< 0.01","3","0.00","0","0","0","Web请求"
