"事务别名","名称","平均响应时间(ms)","总耗时(ms)","耗时百分比(%)","请求数","吞吐率(tps)","错误率(%)","错误数","慢次数","应用"
"URI/grcv5/user/product/dataStatistics/subpage/contractStatistics.jsp","URI/grcv5/user/product/dataStatistics/subpage/contractStatistics.jsp","254.5","509","0.00210386","2","1.1574074E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrCockpitService.getLawyer.dwr","URI/grcv5/dwr/call/plaincall/dwrCockpitService.getLawyer.dwr","252.66667","1516","0.006266114","6","3.4722223E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.rest.prefix.flowmobileapi.v1}/process-drive/task/reject (POST)","SpringController/${url.rest.prefix.flowmobileapi.v1}/process-drive/task/reject (POST)","248.5","994","0.0041085207","4","2.3148148E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.workflow.create}","SpringController/${url.workflow.create}","248.35345","28809","0.119076826","116","6.712963E-4","0.0","0","3","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.findContractDraftList.dwr","URI/grcv5/dwr/call/plaincall/dwrContractInfoService.findContractDraftList.dwr","246.40816","12074","0.04990571","49","2.8356482E-4","0.0","0","1","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/lasContractSign/editLasContractSign.htm","URI/grcv5/wp/lasContractSign/editLasContractSign.htm","240.82","12041","0.049769312","50","2.8935185E-4","0.0","0","2","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContactViewService.getStatusById.dwr","URI/grcv5/dwr/call/plaincall/dwrContactViewService.getStatusById.dwr","232.89388","98747","0.408153","424","0.0024537037","0.0","0","1","org.springframework.boot.loader.WarLauncher"
"SpringController/serverapi/v1/thirdParty/getOppDocking","SpringController/serverapi/v1/thirdParty/getOppDocking","230.5","461","0.0019054607","2","1.1574074E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/user/product/dataStatistics/subpage/knowledge.jsp","URI/grcv5/user/product/dataStatistics/subpage/knowledge.jsp","229.0","229","9.465304E-4","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractArchiveService.getArchiveByContractId.dwr","URI/grcv5/dwr/call/plaincall/dwrContractArchiveService.getArchiveByContractId.dwr","229.0","229","9.465304E-4","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.attachment}/${url.attachment.download}/previewAnnexPdf","SpringController/${url.attachment}/${url.attachment.download}/previewAnnexPdf","227.83076","29618","0.12242068","130","7.523148E-4","0.0","0","2","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrWorkflowListService.cancelEntriesWithData.dwr","URI/grcv5/dwr/call/plaincall/dwrWorkflowListService.cancelEntriesWithData.dwr","224.42857","3142","0.012986893","14","8.1018516E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/wp/G_1_oppositeAccess/G_1_oppositeAccessView.htm","URI/grcv5/wp/G_1_oppositeAccess/G_1_oppositeAccessView.htm","223.0","669","0.0027651913","3","1.7361112E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/serverapi/v1/tyc/findRelation (POST)","SpringController/serverapi/v1/tyc/findRelation (POST)","217.61539","5658","0.023386328","26","1.5046296E-4","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrProductBusinessListService.findBusinessList.dwr","URI/grcv5/dwr/call/plaincall/dwrProductBusinessListService.findBusinessList.dwr","213.14133","699743","2.8922622","3283","0.018998843","0.0","0","35","fawuorg.springframework.boot.loader.WarLauncher"
